,Metric,Texture number,Texture name,F,p,Texture
0,roughness,1.0,Door mat,4.785714285714229,0.09136825842348935,
1,roughness,2.0,Rug 1,0.24324324324323554,0.8854833528783546,
2,roughness,3.0,Towel,9.616438356164377,0.008162382512248066,
3,roughness,4.0,Rug 2,0.8732394366196975,0.6462171292325812,
4,roughness,5.0,Cork pad,8.23999999999999,0.016244514441949964,
5,roughness,6.0,Plastic place mat,0.5915492957746494,0.7439550609759762,
6,roughness,7.0,Chair pad,2.5277777777777746,0.28255306964479,
7,roughness,8.0,Bath mat,2.714285714285714,0.2573951420525681,
8,roughness,9.0,Astro turf,2.196721311475384,0.3334172215308797,
9,roughness,10.0,Plastic desk mat,0.8235294117646975,0.6624801353939289,
10,roughness,11.0,Garden deck tile,3.9090909090909056,0.14162883881018618,
11,roughness,12.0,Tile,8.33333333333333,0.015503853599009342,
12,roughness,13.0,Crash mat,5.621621621621606,0.060156197318137566,
13,roughness,14.0,Firm foam pad,10.783783783783784,0.004553350734456784,
14,roughness,15.0,Gel pad,5.506849315068487,0.0637093046295,
15,roughness,16.0,Throw,0.07999999999998787,0.9607894391523291,
16,hardness,1.0,Door mat,0.771428571428547,0.6799647735789021,
17,hardness,2.0,Rug 1,4.483870967741907,0.10625265493450206,
18,hardness,3.0,Towel,6.738461538461514,0.034416101087718684,
19,hardness,4.0,Rug 2,2.4363636363636076,0.2957674373253275,
20,hardness,5.0,Cork pad,1.3611111111111047,0.5063356166481023,
21,hardness,6.0,Plastic place mat,0.7887323943661891,0.6741071548946884,
22,hardness,7.0,Chair pad,0.7826086956521492,0.6761743325317561,
23,hardness,8.0,Bath mat,1.6285714285714286,0.4429556112545522,
24,hardness,9.0,Astro turf,0.36619718309858673,0.8326860558816571,
25,hardness,10.0,Plastic desk mat,6.6567164179104275,0.03585191813319185,
26,hardness,11.0,Garden deck tile,6.421052631578921,0.040335378537835066,
27,hardness,12.0,Tile,0.35820895522385854,0.8360185496124745,
28,hardness,13.0,Crash mat,19.39999999999998,6.128349505322267e-05,
29,hardness,14.0,Firm foam pad,3.58333333333333,0.16668213447794686,
30,hardness,15.0,Gel pad,0.46376811594201084,0.7930380644189198,
31,hardness,16.0,Throw,0.2372881355932088,0.8881238563925189,
32,slipperiness,1.0,Door mat,4.227272727272725,0.12079790170350718,
33,slipperiness,2.0,Rug 1,4.235294117647052,0.12031438840089968,
34,slipperiness,3.0,Towel,7.5072463768115725,0.023432690810167973,
35,slipperiness,4.0,Rug 2,0.59375,0.7431368986687583,
36,slipperiness,5.0,Cork pad,2.5479452054794507,0.27971820235911127,
37,slipperiness,6.0,Plastic place mat,1.1621621621621514,0.5592933981028834,
38,slipperiness,7.0,Chair pad,4.9999999999999725,0.08208499862389992,
39,slipperiness,8.0,Bath mat,5.538461538461529,0.06271022482807197,
40,slipperiness,9.0,Astro turf,3.0746268656716165,0.2149578250111349,
41,slipperiness,10.0,Plastic desk mat,4.065573770491778,0.13097001367260555,
42,slipperiness,11.0,Garden deck tile,0.0833333333333207,0.9591894571091443,
43,slipperiness,12.0,Tile,11.783783783783768,0.0027617468248731,
44,slipperiness,13.0,Crash mat,9.514285714285691,0.008590117562196933,
45,slipperiness,14.0,Firm foam pad,6.602739726027393,0.036832677104679495,
46,slipperiness,15.0,Gel pad,8.342857142857133,0.01543020122669639,
47,slipperiness,16.0,Throw,3.126760563380264,0.2094269512746179,
